,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
401,puerto+ayora,0,98,-0.74,73.79,12.21
402,kamaishi,75,49,39.28,69.8,4.7
403,jurm,0,60,36.86,43.46,1.14
404,lexington,75,83,38.05,75.2,6.93
405,jasper,44,100,33.83,75.2,3.38
406,svetlogorsk,0,36,53.14,46.4,15.66
407,rafaela,8,80,-31.25,51.92,3.27
408,wiwili,64,86,13.63,74.06,1.7
409,punta+arenas,0,100,-53.16,39.2,23.04
410,port+alfred,12,100,-33.59,61.37,10.98
411,mikhaylovka,12,64,52.96,62.72,3.94
412,najran,5,36,17.54,75.2,4.7
413,ribeira+grande,44,100,38.52,64.52,1.7
414,matara,0,82,-13.74,28.97,1.92
415,port+alfred,12,100,-33.59,61.37,10.98
416,sao+joao+da+barra,8,100,-21.64,73.97,7.18
417,xining,76,66,36.62,48.05,2.15
418,melo,0,84,-32.37,49.67,5.17
419,vila+velha,75,83,-3.71,80.6,3.36
420,nemuro,75,54,43.32,59.0,9.17
421,oksfjord,92,100,70.24,41.0,12.75
422,batagay-alyta,0,63,67.8,51.65,4.05
423,kelvington,20,84,52.16,64.52,8.19
424,puerto+ayacucho,88,99,5.66,74.06,0.69
425,woodward,1,41,36.43,78.8,11.41
426,marsh+harbour,76,95,26.54,79.19,21.16
427,kiama,0,43,-34.67,69.8,9.17
428,ahuimanu,90,74,21.44,80.6,9.17
429,saint+anthony,90,63,43.97,71.6,41.38
430,noumea,56,94,-22.28,68.0,3.36
431,norman+wells,90,70,65.28,42.8,14.99
432,srednekolymsk,24,57,67.46,47.15,4.83
433,tamandare,0,89,-8.28,74.15,2.48
434,shelburne,20,100,44.08,66.2,3.36
435,solnechnyy,0,45,50.72,69.92,3.6
436,mitu,0,76,36.2,46.52,1.92
437,shellbrook,75,100,53.22,60.8,4.7
438,puri,8,74,-7.54,82.25,5.61
439,shadrinsk,0,77,56.09,44.81,4.38
440,yelizovo,75,81,53.19,42.8,8.95
441,sedkyrkeshch,75,62,61.72,51.8,11.18
442,comodoro+rivadavia,0,87,-45.87,51.8,25.28
443,tenenkou,92,49,14.46,84.77,12.21
444,nalut,64,63,31.86,64.7,4.05
445,chake+chake,92,100,-5.25,79.91,15.79
446,aden,0,91,12.79,87.11,3.94
447,ola,90,86,59.58,41.0,8.95
448,brigantine,1,83,39.41,77.0,4.7
449,bambous+virieux,40,83,-20.34,75.2,8.05
450,cape+town,0,100,-33.93,42.8,3.36
451,rio+gallegos,0,55,-51.62,39.2,25.28
452,nioro,0,58,13.79,74.69,11.43
453,nyurba,32,52,63.29,64.34,8.86
454,carutapera,80,95,-1.2,77.3,5.5
455,port+blair,92,100,11.67,83.24,14.12
456,port+augusta,75,93,-32.49,60.8,12.75
457,inyonga,8,58,-6.72,68.57,7.63
458,port+hedland,0,30,-20.31,82.4,13.87
459,east+london,0,87,-33.02,53.6,5.82
460,norman+wells,90,70,65.28,42.8,14.99
461,duma,0,55,33.57,60.8,4.61
462,port+alfred,12,100,-33.59,61.37,10.98
463,punta+arenas,0,100,-53.16,39.2,23.04
464,payson,1,30,40.04,71.6,11.41
465,bikaner,0,12,28.02,95.57,6.4
466,new+norfolk,36,61,-42.78,50.0,10.29
467,balaipungut,24,96,1.11,81.62,3.6
468,nouadhibou,0,72,20.93,64.4,21.92
469,moussoro,0,52,13.64,82.79,11.99
470,gachala,20,81,4.69,53.6,3.36
471,geraldton,92,95,49.72,63.08,5.17
472,gat,0,83,14.69,69.8,2.24
473,punta+arenas,0,100,-53.16,39.2,23.04
474,fort+nelson,75,55,58.81,60.8,2.24
475,puerto+ayora,0,98,-0.74,73.79,12.21
476,puerto+ayora,0,98,-0.74,73.79,12.21
477,san+policarpo,92,88,12.18,85.76,7.4
478,parana,0,94,-7.52,73.4,2.15
479,wanaka,20,67,-44.7,38.15,6.62
480,rosarito,20,100,4.91,66.2,4.7
481,paita,0,82,-5.09,68.75,7.07
482,vila+velha,75,83,-3.71,80.6,3.36
483,new+norfolk,36,61,-42.78,50.0,10.29
484,grindavik,40,86,63.84,41.0,3.36
485,new+norfolk,36,61,-42.78,50.0,10.29
486,kidal,12,27,18.44,81.71,6.96
487,poddorye,0,61,57.47,59.39,12.21
488,punta+arenas,0,100,-53.16,39.2,23.04
489,salihorsk,0,68,52.79,52.64,8.97
490,puerto+ayora,0,98,-0.74,73.79,12.21
491,mar+del+plata,36,62,-46.43,50.03,21.94
492,new+norfolk,36,61,-42.78,50.0,10.29
493,cape+town,0,100,-33.93,42.8,3.36
494,porto+belo,75,93,-27.15,64.4,5.82
495,punta+arenas,0,100,-53.16,39.2,23.04
496,arraial+do+cabo,0,98,-22.97,68.3,6.29
497,punta+arenas,0,100,-53.16,39.2,23.04
498,port+alfred,12,100,-33.59,61.37,10.98
499,sarangani,20,98,5.4,85.04,2.71
500,kilindoni,76,96,-7.91,80.54,13.44
501,keti+bandar,0,94,24.14,85.94,21.94
502,hambantota,88,100,6.12,79.01,15.68
503,luau,64,44,-10.7,70.37,5.39
504,verkh-chebula,92,100,56.03,42.92,5.73
505,luderitz,0,89,-26.65,52.73,8.3
506,wilmington,20,73,39.75,78.8,4.61
507,vao,0,70,59.1,52.82,3.71
508,mehamn,92,100,71.03,37.88,17.47
